game_id,pokemon_id,form_id,method,pokemon_move_list_id
1,1,1,level,1
1,1,1,machine,2
1,2,1,level,3
1,2,1,machine,2
1,3,1,level,4
1,3,1,machine,5
1,4,1,level,6
1,4,1,machine,7
1,5,1,level,8
1,5,1,machine,7
1,6,1,level,9
1,6,1,machine,10
1,7,1,level,11
1,7,1,machine,12
1,8,1,level,13
1,8,1,machine,12
1,9,1,level,14
1,9,1,machine,15
1,10,1,level,16
1,11,1,level,17
1,12,1,level,18
1,12,1,machine,19
1,13,1,level,20
1,14,1,level,17
1,15,1,level,21
1,15,1,machine,22
1,16,1,level,23
1,16,1,machine,24
1,17,1,level,25
1,17,1,machine,24
1,18,1,level,26
1,18,1,machine,27
1,19,1,level,28
1,19,1,machine,29
1,20,1,level,30
1,20,1,machine,31
1,21,1,level,32
1,21,1,machine,33
1,22,1,level,34
1,22,1,machine,35
1,23,1,level,36
1,23,1,machine,37
1,24,1,level,38
1,24,1,machine,39
1,25,1,level,40
1,25,1,stadium_surf,42
1,25,1,machine,41
1,26,1,level,43
1,26,1,machine,44
1,27,1,level,45
1,27,1,machine,46
1,28,1,level,47
1,28,1,machine,48
1,29,1,level,49
1,29,1,machine,50
1,30,1,level,51
1,30,1,machine,52
1,31,1,level,53
1,31,1,machine,54
1,32,1,level,55
1,32,1,machine,56
1,33,1,level,57
1,33,1,machine,52
1,34,1,level,58
1,34,1,machine,54
1,35,1,level,59
1,35,1,machine,60
1,36,1,level,61
1,36,1,machine,62
1,37,1,level,63
1,37,1,machine,64
1,38,1,level,65
1,38,1,machine,66
1,39,1,level,67
1,39,1,machine,68
1,40,1,level,69
1,40,1,machine,70
1,41,1,level,71
1,41,1,machine,72
1,42,1,level,73
1,42,1,machine,74
1,43,1,level,75
1,43,1,machine,76
1,44,1,level,77
1,44,1,machine,76
1,45,1,level,78
1,45,1,machine,5
1,46,1,level,79
1,46,1,machine,80
1,47,1,level,81
1,47,1,machine,82
1,48,1,level,83
1,48,1,machine,84
1,49,1,level,85
1,49,1,machine,19
1,50,1,level,86
1,50,1,machine,87
1,51,1,level,88
1,51,1,machine,89
1,52,1,level,90
1,52,1,machine,91
1,53,1,level,92
1,53,1,machine,93
1,54,1,level,94
1,54,1,machine,95
1,55,1,level,96
1,55,1,machine,97
1,56,1,level,98
1,56,1,machine,99
1,57,1,level,100
1,57,1,machine,101
1,58,1,level,102
1,58,1,machine,103
1,59,1,level,104
1,59,1,machine,105
1,60,1,level,106
1,60,1,machine,107
1,61,1,level,108
1,61,1,machine,109
1,62,1,level,110
1,62,1,machine,111
1,63,1,level,112
1,63,1,machine,113
1,64,1,level,114
1,64,1,machine,115
1,65,1,level,114
1,65,1,machine,116
1,66,1,level,117
1,66,1,machine,118
1,67,1,level,119
1,67,1,machine,118
1,68,1,level,119
1,68,1,machine,120
1,69,1,level,121
1,69,1,machine,76
1,70,1,level,122
1,70,1,machine,76
1,71,1,level,123
1,71,1,machine,5
1,72,1,level,124
1,72,1,machine,125
1,73,1,level,126
1,73,1,machine,127
1,74,1,level,128
1,74,1,machine,129
1,75,1,level,130
1,75,1,machine,129
1,76,1,level,130
1,76,1,machine,131
1,77,1,level,132
1,77,1,machine,133
1,78,1,level,134
1,78,1,machine,135
1,79,1,level,136
1,79,1,machine,137
1,80,1,level,138
1,80,1,machine,139
1,81,1,level,140
1,81,1,machine,141
1,82,1,level,142
1,82,1,machine,143
1,83,1,level,144
1,83,1,machine,145
1,84,1,level,146
1,84,1,machine,147
1,85,1,level,148
1,85,1,machine,149
1,86,1,level,150
1,86,1,machine,151
1,87,1,level,152
1,87,1,machine,153
1,88,1,level,154
1,88,1,machine,155
1,89,1,level,156
1,89,1,machine,157
1,90,1,level,158
1,90,1,machine,159
1,91,1,level,160
1,91,1,machine,161
1,92,1,level,162
1,92,1,machine,163
1,93,1,level,164
1,93,1,machine,163
1,94,1,level,164
1,94,1,machine,165
1,95,1,level,166
1,95,1,machine,167
1,96,1,level,168
1,96,1,machine,169
1,97,1,level,170
1,97,1,machine,171
1,98,1,level,172
1,98,1,machine,173
1,99,1,level,174
1,99,1,machine,175
1,100,1,level,176
1,100,1,machine,177
1,101,1,level,178
1,101,1,machine,179
1,102,1,level,180
1,102,1,machine,181
1,103,1,level,182
1,103,1,machine,183
1,104,1,level,184
1,104,1,machine,185
1,105,1,level,186
1,105,1,machine,187
1,106,1,level,188
1,106,1,machine,189
1,107,1,level,190
1,107,1,machine,189
1,108,1,level,191
1,108,1,machine,192
1,109,1,level,193
1,109,1,machine,194
1,110,1,level,195
1,110,1,machine,196
1,111,1,level,197
1,111,1,machine,198
1,112,1,level,199
1,112,1,machine,200
1,113,1,level,201
1,113,1,machine,202
1,114,1,level,203
1,114,1,machine,204
1,115,1,level,205
1,115,1,machine,206
1,116,1,level,207
1,116,1,machine,208
1,117,1,level,209
1,117,1,machine,210
1,118,1,level,211
1,118,1,machine,212
1,119,1,level,213
1,119,1,machine,214
1,120,1,level,215
1,120,1,machine,216
1,121,1,level,217
