game_id,pokemon_id,form_id,stat_id,base_stat,effort_yield
1,1,1,1,45,
1,1,1,2,49,
1,1,1,3,49,
1,1,1,6,45,
1,1,1,7,65,
1,2,1,1,60,
1,2,1,2,62,
1,2,1,3,63,
1,2,1,6,60,
1,2,1,7,80,
1,3,1,1,80,
1,3,1,2,82,
1,3,1,3,83,
1,3,1,6,80,
1,3,1,7,100,
1,4,1,1,39,
1,4,1,2,52,
1,4,1,3,43,
1,4,1,6,65,
1,4,1,7,50,
1,5,1,1,58,
1,5,1,2,64,
1,5,1,3,58,
1,5,1,6,80,
1,5,1,7,65,
1,6,1,1,78,
1,6,1,2,84,
1,6,1,3,78,
1,6,1,6,100,
1,6,1,7,85,
1,7,1,1,44,
1,7,1,2,48,
1,7,1,3,65,
1,7,1,6,43,
1,7,1,7,50,
1,8,1,1,59,
1,8,1,2,63,
1,8,1,3,80,
1,8,1,6,58,
1,8,1,7,65,
1,9,1,1,79,
1,9,1,2,83,
1,9,1,3,100,
1,9,1,6,78,
1,9,1,7,85,
1,10,1,1,45,
1,10,1,2,30,
1,10,1,3,35,
1,10,1,6,45,
1,10,1,7,20,
1,11,1,1,50,
1,11,1,2,20,
1,11,1,3,55,
1,11,1,6,30,
1,11,1,7,25,
1,12,1,1,60,
1,12,1,2,45,
1,12,1,3,50,
1,12,1,6,70,
1,12,1,7,80,
1,13,1,1,40,
1,13,1,2,35,
1,13,1,3,30,
1,13,1,6,50,
1,13,1,7,20,
1,14,1,1,45,
1,14,1,2,25,
1,14,1,3,50,
1,14,1,6,35,
1,14,1,7,25,
1,15,1,1,65,
1,15,1,2,80,
1,15,1,3,40,
1,15,1,6,75,
1,15,1,7,45,
1,16,1,1,40,
1,16,1,2,45,
1,16,1,3,40,
1,16,1,6,56,
1,16,1,7,35,
1,17,1,1,63,
1,17,1,2,60,
1,17,1,3,55,
1,17,1,6,71,
1,17,1,7,50,
1,18,1,1,83,
1,18,1,2,80,
1,18,1,3,75,
1,18,1,6,91,
1,18,1,7,70,
1,19,1,1,30,
1,19,1,2,56,
1,19,1,3,35,
1,19,1,6,72,
1,19,1,7,25,
1,20,1,1,55,
1,20,1,2,81,
1,20,1,3,60,
1,20,1,6,97,
1,20,1,7,50,
1,21,1,1,40,
1,21,1,2,60,
1,21,1,3,30,
1,21,1,6,70,
1,21,1,7,31,
1,22,1,1,65,
1,22,1,2,90,
1,22,1,3,65,
